title;type;year;filename;book;word_count;char_count;source
das_schloss_44;fiction;1922;das_schloss_44_fiction.txt;das_schloss;2031;10487;https://www.projekt-gutenberg.org/kafka/schloss/
das_urteil_01;fiction;1912;das_urteil_01_fiction.txt;das_urteil;2030;10976;https://www.gutenberg.org/files/21593/21593-h/21593-h.htm
das_schloss_23;fiction;1922;das_schloss_23_fiction.txt;das_schloss;2029;10361;https://www.projekt-gutenberg.org/kafka/schloss/
tagebuch_057;diary;1914;tagebuch_57_diaries.txt;tagebuecher;2029;11116;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
das_schloss_46;fiction;1922;das_schloss_46_fiction.txt;das_schloss;2024;10110;https://www.projekt-gutenberg.org/kafka/schloss/
josephine_die_saengerin_01;fiction;1924;josephine_01_fiction.txt;magazine;2020;10996;https://www.projekt-gutenberg.org/kafka/misc/chap031.html
tagebuch_014;diary;1911;tagebuch_014_diaries.txt;tagebuecher;2014;11506;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
die_acht_oktavenhefte_04;fiction;1917;oktavenhefte_04_fiction.txt;notizen;2013;10796;https://www.projekt-gutenberg.org/kafka/oktavhef/oktavhef.html
amerika_20;fiction;1913;amerika_20_fiction.txt;amerika;2012;10759;https://www.projekt-gutenberg.org/kafka/amerika/
der_prozess_12;fiction;1914;der_prozess_12_fiction.txt;der_prozess;2007;10458;https://www.projekt-gutenberg.org/kafka/prozess/
drei_kurzgeschichten;fiction;1917;drei_kurzgeschichten_fiction.txt;ein_landarzt;2005;10874;https://www.gutenberg.org/files/21989/21989-h/21989-h.htm
tagebuch_066;diary;1916;tagebuch_66_diaries.txt;tagebuecher;2002;10392;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_059;diary;1914;tagebuch_59_diaries.txt;tagebuecher;2000;10604;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
amerika_15;fiction;1913;amerika_15_fiction.txt;amerika;1997;10588;https://www.projekt-gutenberg.org/kafka/amerika/
tagebuch_067;diary;1916;tagebuch_67_diaries.txt;tagebuecher;1997;10828;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_020;diary;1911;tagebuch_020_diaries.txt;tagebuecher;1995;10726;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_045;diary;1913;tagebuch_45_diaries.txt;tagebuecher;1995;10516;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
josephine_die_saengerin_03;fiction;1924;josephine_03_fiction.txt;magazine;1980;10555;https://www.projekt-gutenberg.org/kafka/misc/chap031.html
